C/A,Unit,SCP,Station,Line Name,Division,Date,Time,Description,Entries,Exits                                                     
A058,R001,01-00-00,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,1493069,3464060
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,3958982,2505212
A060,R001,00-00-07,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,3153516,2882628
A060,R001,00-00-01,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,3217398,2083041
A060,R001,00-00-07,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,3153516,2882628
A060,R001,00-00-02,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,492969,393737
A060,R001,00-00-06,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,126797,301746
A060,R001,00-00-05,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,2037145,2796875
A060,R001,00-00-04,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,503637,583857
A060,R001,00-00-06,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,126797,301746
A060,R001,00-00-03,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,2527553,286059
A060,R001,00-00-02,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,492969,393737
A060,R001,00-00-03,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,2527553,286059
A060,R001,00-00-01,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,3217398,2083041
A060,R001,00-00-00,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,3958982,2505212
A060,R001,00-00-04,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,503637,583857
A060,R001,00-00-05,WHITEHALL S-FRY,R1W,BMT,12/28/2018,00:00:00,REGULAR,2037145,2796875
A061,R142,00-00-02,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,288921,82233
A061,R142,00-03-03,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,1308016,4697336
A061,R142,00-00-01,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,11032186,3569049
A061,R142,00-03-03,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,1308016,4697336
A061,R142,00-03-02,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,2587156,4062187
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,12751692,11571401
A061,R142,00-03-02,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,2587156,4062187
A061,R142,00-00-01,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,11032186,3569049
A061,R142,00-03-00,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,2762613,1852688
A061,R142,00-03-00,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,2762613,1852688
A061,R142,00-00-02,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,288921,82233
A061,R142,00-03-01,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,3317092,2234172
A061,R142,00-00-00,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,12751692,11571401
A061,R142,00-03-01,DELANCEY/ESSEX,FJMZ,BMT,12/28/2018,00:00:00,REGULAR,3317092,2234172
A066,R118,00-00-00,CANAL ST,JNQRZ6W,BMT,12/28/2018,00:00:00,REGULAR,1724414405,1762822989
